AlbumTitle,Date,PlayCount
Cássia Eller - Coleção Sem Limite [Disc 2],2024-05-01,55
Cássia Eller - Coleção Sem Limite [Disc 2],2024-06-01,55
Cássia Eller - Coleção Sem Limite [Disc 2],2024-07-01,58
Cássia Eller - Coleção Sem Limite [Disc 2],2024-08-01,57
Cássia Eller - Coleção Sem Limite [Disc 2],2024-09-01,57
Cássia Eller - Coleção Sem Limite [Disc 2],2024-10-01,58
Cássia Eller - Coleção Sem Limite [Disc 2],2024-11-01,57
Cássia Eller - Coleção Sem Limite [Disc 2],2024-12-01,46
Cássia Eller - Sem Limite [Disc 1],2023-01-01,21
Cássia Eller - Sem Limite [Disc 1],2023-02-01,19
Cássia Eller - Sem Limite [Disc 1],2023-03-01,23
Cássia Eller - Sem Limite [Disc 1],2023-04-01,21
Cássia Eller - Sem Limite [Disc 1],2023-05-01,25
Cássia Eller - Sem Limite [Disc 1],2023-06-01,23
Cássia Eller - Sem Limite [Disc 1],2023-07-01,18
Cássia Eller - Sem Limite [Disc 1],2023-08-01,20
Cássia Eller - Sem Limite [Disc 1],2023-09-01,25
Cássia Eller - Sem Limite [Disc 1],2023-10-01,28
Cássia Eller - Sem Limite [Disc 1],2023-11-01,30
Cássia Eller - Sem Limite [Disc 1],2023-12-01,18
Cássia Eller - Sem Limite [Disc 1],2024-01-01,26
Cássia Eller - Sem Limite [Disc 1],2024-02-01,25
Cássia Eller - Sem Limite [Disc 1],2024-03-01,26
Cássia Eller - Sem Limite [Disc 1],2024-04-01,21
Cássia Eller - Sem Limite [Disc 1],2024-05-01,18
Cássia Eller - Sem Limite [Disc 1],2024-06-01,20
Cássia Eller - Sem Limite [Disc 1],2024-07-01,28
Cássia Eller - Sem Limite [Disc 1],2024-08-01,31
Cássia Eller - Sem Limite [Disc 1],2024-09-01,28
Cássia Eller - Sem Limite [Disc 1],2024-10-01,23
Cássia Eller - Sem Limite [Disc 1],2024-11-01,28
Cássia Eller - Sem Limite [Disc 1],2024-12-01,29
Djavan Ao Vivo - Vol. 1,2023-01-01,36
Djavan Ao Vivo - Vol. 1,2023-02-01,24
Djavan Ao Vivo - Vol. 1,2023-03-01,35
Djavan Ao Vivo - Vol. 1,2023-04-01,22
Djavan Ao Vivo - Vol. 1,2023-05-01,25
Djavan Ao Vivo - Vol. 1,2023-06-01,23
Djavan Ao Vivo - Vol. 1,2023-07-01,29
Djavan Ao Vivo - Vol. 1,2023-08-01,25
Djavan Ao Vivo - Vol. 1,2023-09-01,23
Djavan Ao Vivo - Vol. 1,2023-10-01,35
Djavan Ao Vivo - Vol. 1,2023-11-01,27
Djavan Ao Vivo - Vol. 1,2023-12-01,27
Djavan Ao Vivo - Vol. 1,2024-01-01,31
Djavan Ao Vivo - Vol. 1,2024-02-01,25
Djavan Ao Vivo - Vol. 1,2024-03-01,27
Djavan Ao Vivo - Vol. 1,2024-04-01,34
Djavan Ao Vivo - Vol. 1,2024-05-01,36
Djavan Ao Vivo - Vol. 1,2024-06-01,23
Djavan Ao Vivo - Vol. 1,2024-07-01,31
Djavan Ao Vivo - Vol. 1,2024-08-01,33
Djavan Ao Vivo - Vol. 1,2024-09-01,23
Djavan Ao Vivo - Vol. 1,2024-10-01,31
Djavan Ao Vivo - Vol. 1,2024-11-01,35
Djavan Ao Vivo - Vol. 1,2024-12-01,25
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2023-01-01,42
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2023-02-01,42
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2023-03-01,35
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2023-04-01,41
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2023-05-01,34
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2023-06-01,39
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2023-07-01,36
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2023-08-01,41
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2023-09-01,35
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2023-10-01,32
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2023-11-01,40
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2023-12-01,29
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2024-01-01,42
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2024-02-01,32
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2024-03-01,35
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2024-04-01,37
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2024-05-01,36
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2024-06-01,39
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2024-07-01,39
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2024-08-01,39
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2024-09-01,40
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2024-10-01,36
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2024-11-01,40
Knocking at Your Back Door: The Best Of Deep Purple in the 80's,2024-12-01,42
Purpendicular,2023-01-01,23
Purpendicular,2023-02-01,21
Purpendicular,2023-03-01,23
Purpendicular,2023-04-01,22
Purpendicular,2023-05-01,15
Purpendicular,2023-06-01,26
Purpendicular,2023-07-01,22
Purpendicular,2023-08-01,22
Purpendicular,2023-09-01,29
Purpendicular,2023-10-01,25
Purpendicular,2023-11-01,17
Purpendicular,2023-12-01,15
Purpendicular,2024-01-01,22
Purpendicular,2024-02-01,17
Purpendicular,2024-03-01,17
Purpendicular,2024-04-01,15
Purpendicular,2024-05-01,25
Purpendicular,2024-06-01,19
Purpendicular,2024-07-01,24
Purpendicular,2024-08-01,21
Purpendicular,2024-09-01,24
Purpendicular,2024-10-01,23
Purpendicular,2024-11-01,26
Purpendicular,2024-12-01,21
The Cream Of Clapton,2023-01-01,30
The Cream Of Clapton,2023-02-01,34
The Cream Of Clapton,2023-03-01,24
The Cream Of Clapton,2023-04-01,23
The Cream Of Clapton,2023-05-01,29
The Cream Of Clapton,2023-06-01,29
The Cream Of Clapton,2023-07-01,36
The Cream Of Clapton,2023-08-01,30
The Cream Of Clapton,2023-09-01,27
The Cream Of Clapton,2023-10-01,25
The Cream Of Clapton,2023-11-01,34
The Cream Of Clapton,2023-12-01,30
The Cream Of Clapton,2024-01-01,28
The Cream Of Clapton,2024-02-01,33
The Cream Of Clapton,2024-03-01,25
The Cream Of Clapton,2024-04-01,23
The Cream Of Clapton,2024-05-01,25
The Cream Of Clapton,2024-06-01,27
The Cream Of Clapton,2024-07-01,37
The Cream Of Clapton,2024-08-01,36
The Cream Of Clapton,2024-09-01,25
The Cream Of Clapton,2024-10-01,23
The Cream Of Clapton,2024-11-01,27
The Cream Of Clapton,2024-12-01,32
Vault: Def Leppard's Greatest Hits,2023-01-01,34
Vault: Def Leppard's Greatest Hits,2023-02-01,38
Vault: Def Leppard's Greatest Hits,2023-03-01,36
Vault: Def Leppard's Greatest Hits,2023-04-01,42
Vault: Def Leppard's Greatest Hits,2023-05-01,42
Vault: Def Leppard's Greatest Hits,2023-06-01,37
Vault: Def Leppard's Greatest Hits,2023-07-01,37
Vault: Def Leppard's Greatest Hits,2023-08-01,39
Vault: Def Leppard's Greatest Hits,2023-09-01,40
Vault: Def Leppard's Greatest Hits,2023-10-01,30
Vault: Def Leppard's Greatest Hits,2023-11-01,42
Vault: Def Leppard's Greatest Hits,2023-12-01,34
Vault: Def Leppard's Greatest Hits,2024-01-01,28
Vault: Def Leppard's Greatest Hits,2024-02-01,31
Vault: Def Leppard's Greatest Hits,2024-03-01,40
Vault: Def Leppard's Greatest Hits,2024-04-01,31
Vault: Def Leppard's Greatest Hits,2024-05-01,41
Vault: Def Leppard's Greatest Hits,2024-06-01,32
Vault: Def Leppard's Greatest Hits,2024-07-01,34
Vault: Def Leppard's Greatest Hits,2024-08-01,34
Vault: Def Leppard's Greatest Hits,2024-09-01,40
Vault: Def Leppard's Greatest Hits,2024-10-01,42
Vault: Def Leppard's Greatest Hits,2024-11-01,38
Vault: Def Leppard's Greatest Hits,2024-12-01,40
Unplugged,2023-01-01,62
Unplugged,2023-02-01,56
Unplugged,2023-03-01,60
Unplugged,2023-04-01,52
Unplugged,2023-05-01,55
Unplugged,2023-06-01,61
Unplugged,2023-07-01,51
Unplugged,2023-08-01,59
Unplugged,2023-09-01,62
Unplugged,2023-10-01,63
Unplugged,2023-11-01,58
Unplugged,2023-12-01,54
Unplugged,2024-01-01,55
Unplugged,2024-02-01,61
Unplugged,2024-03-01,61
Unplugged,2024-04-01,61
Unplugged,2024-05-01,61
Unplugged,2024-06-01,53
Unplugged,2024-07-01,63
Unplugged,2024-08-01,63
Unplugged,2024-09-01,60
Unplugged,2024-10-01,59
Unplugged,2024-11-01,56
Unplugged,2024-12-01,61
The Battle Rages On,2023-01-01,45
The Battle Rages On,2023-02-01,52
The Battle Rages On,2023-03-01,39
The Battle Rages On,2023-04-01,39
The Battle Rages On,2023-05-01,47
The Battle Rages On,2023-06-01,49
The Battle Rages On,2023-07-01,52
The Battle Rages On,2023-08-01,47
The Battle Rages On,2023-09-01,42
The Battle Rages On,2023-10-01,51
The Battle Rages On,2023-11-01,47
The Battle Rages On,2023-12-01,41
The Battle Rages On,2024-01-01,45
The Battle Rages On,2024-02-01,44
The Battle Rages On,2024-03-01,46
The Battle Rages On,2024-04-01,49
The Battle Rages On,2024-05-01,47
The Battle Rages On,2024-06-01,52
The Battle Rages On,2024-07-01,43
The Battle Rages On,2024-08-01,39
The Battle Rages On,2024-09-01,41
The Battle Rages On,2024-10-01,48
The Battle Rages On,2024-11-01,50
The Battle Rages On,2024-12-01,46
Slaves And Masters,2023-01-01,39
Slaves And Masters,2023-02-01,34
Slaves And Masters,2023-03-01,36
Slaves And Masters,2023-04-01,37
Slaves And Masters,2023-05-01,32
Slaves And Masters,2023-06-01,29
Slaves And Masters,2023-07-01,42
Slaves And Masters,2023-08-01,29
Slaves And Masters,2023-09-01,38
Slaves And Masters,2023-10-01,32
Slaves And Masters,2023-11-01,40
Slaves And Masters,2023-12-01,42
Slaves And Masters,2024-01-01,35
Slaves And Masters,2024-02-01,30
Slaves And Masters,2024-03-01,31
Slaves And Masters,2024-04-01,29
Slaves And Masters,2024-05-01,33
Slaves And Masters,2024-06-01,29
Slaves And Masters,2024-07-01,36
Slaves And Masters,2024-08-01,29
Slaves And Masters,2024-09-01,39
Slaves And Masters,2024-10-01,29
Slaves And Masters,2024-11-01,30
Slaves And Masters,2024-12-01,30
Stormbringer,2023-01-01,47
Stormbringer,2023-02-01,48
Stormbringer,2023-03-01,46
Stormbringer,2023-04-01,42
Stormbringer,2023-05-01,42
Stormbringer,2023-06-01,44
Stormbringer,2023-07-01,55
Stormbringer,2023-08-01,43
Stormbringer,2023-09-01,46
Stormbringer,2023-10-01,53
Stormbringer,2023-11-01,51
Stormbringer,2023-12-01,47
Stormbringer,2024-01-01,48
Stormbringer,2024-02-01,45
Stormbringer,2024-03-01,48
Stormbringer,2024-04-01,52
Stormbringer,2024-05-01,49
Stormbringer,2024-06-01,52
Stormbringer,2024-07-01,42
Stormbringer,2024-08-01,56
Stormbringer,2024-09-01,47
Stormbringer,2024-10-01,49
Stormbringer,2024-11-01,46
Stormbringer,2024-12-01,45
Outbreak,2023-01-01,53
Outbreak,2023-02-01,53
Outbreak,2023-03-01,58
Outbreak,2023-04-01,62
Outbreak,2023-05-01,48
Outbreak,2023-06-01,56
Outbreak,2023-07-01,59
Outbreak,2023-08-01,58
Outbreak,2023-09-01,53
Outbreak,2023-10-01,60
Outbreak,2023-11-01,50
Outbreak,2023-12-01,51
Outbreak,2024-01-01,59
Outbreak,2024-02-01,58
Outbreak,2024-03-01,51
Outbreak,2024-04-01,50
Outbreak,2024-05-01,57
Outbreak,2024-06-01,50
Outbreak,2024-07-01,62
Outbreak,2024-08-01,50
Outbreak,2024-09-01,51
Outbreak,2024-10-01,54
Outbreak,2024-11-01,51
Outbreak,2024-12-01,56
Machine Head,2023-01-01,54
Machine Head,2023-02-01,53
Machine Head,2023-03-01,48
Machine Head,2023-04-01,54
Machine Head,2023-05-01,47
Machine Head,2023-06-01,57
Machine Head,2023-07-01,58
Machine Head,2023-08-01,55
Machine Head,2023-09-01,55
Machine Head,2023-10-01,48
Machine Head,2023-11-01,53
Machine Head,2023-12-01,61
Machine Head,2024-01-01,60
Machine Head,2024-02-01,56
Machine Head,2024-03-01,49
Machine Head,2024-04-01,53
Machine Head,2024-05-01,58
Machine Head,2024-06-01,56
Machine Head,2024-07-01,55
Machine Head,2024-08-01,50
Machine Head,2024-09-01,58
Machine Head,2024-10-01,47
Machine Head,2024-11-01,48
Machine Head,2024-12-01,47
Djavan Ao Vivo - Vol. 02,2023-01-01,30
Djavan Ao Vivo - Vol. 02,2023-02-01,30
Djavan Ao Vivo - Vol. 02,2023-03-01,36
Djavan Ao Vivo - Vol. 02,2023-04-01,32
Djavan Ao Vivo - Vol. 02,2023-05-01,34
Djavan Ao Vivo - Vol. 02,2023-06-01,34
Djavan Ao Vivo - Vol. 02,2023-07-01,28
Djavan Ao Vivo - Vol. 02,2023-08-01,28
Djavan Ao Vivo - Vol. 02,2023-09-01,28
Djavan Ao Vivo - Vol. 02,2023-10-01,29
Djavan Ao Vivo - Vol. 02,2023-11-01,33
Djavan Ao Vivo - Vol. 02,2023-12-01,31
Djavan Ao Vivo - Vol. 02,2024-01-01,33
Djavan Ao Vivo - Vol. 02,2024-02-01,26
Djavan Ao Vivo - Vol. 02,2024-03-01,33
Djavan Ao Vivo - Vol. 02,2024-04-01,29
Djavan Ao Vivo - Vol. 02,2024-05-01,36
Djavan Ao Vivo - Vol. 02,2024-06-01,26
Djavan Ao Vivo - Vol. 02,2024-07-01,33
Djavan Ao Vivo - Vol. 02,2024-08-01,29
Djavan Ao Vivo - Vol. 02,2024-09-01,31
Djavan Ao Vivo - Vol. 02,2024-10-01,33
Djavan Ao Vivo - Vol. 02,2024-11-01,29
Djavan Ao Vivo - Vol. 02,2024-12-01,39
Elis Regina-Minha História,2023-01-01,62
Elis Regina-Minha História,2023-02-01,57
Elis Regina-Minha História,2023-03-01,51
Elis Regina-Minha História,2023-04-01,57
Elis Regina-Minha História,2023-05-01,61
Elis Regina-Minha História,2023-06-01,50
Elis Regina-Minha História,2023-07-01,62
Elis Regina-Minha História,2023-08-01,50
Elis Regina-Minha História,2023-09-01,50
Elis Regina-Minha História,2023-10-01,54
Elis Regina-Minha História,2023-11-01,51
Elis Regina-Minha História,2023-12-01,61
Elis Regina-Minha História,2024-01-01,57
Elis Regina-Minha História,2024-02-01,52
Elis Regina-Minha História,2024-03-01,49
Elis Regina-Minha História,2024-04-01,52
Elis Regina-Minha História,2024-05-01,49
Elis Regina-Minha História,2024-06-01,62
Elis Regina-Minha História,2024-07-01,53
Elis Regina-Minha História,2024-08-01,52
Elis Regina-Minha História,2024-09-01,56
Elis Regina-Minha História,2024-10-01,56
Elis Regina-Minha História,2024-11-01,55
Elis Regina-Minha História,2024-12-01,51
Deep Purple In Rock,2023-01-01,31
Deep Purple In Rock,2023-02-01,42
Deep Purple In Rock,2023-03-01,41
Deep Purple In Rock,2023-04-01,33
Deep Purple In Rock,2023-05-01,36
Deep Purple In Rock,2023-06-01,37
Deep Purple In Rock,2023-07-01,36
Deep Purple In Rock,2023-08-01,44
Deep Purple In Rock,2023-09-01,44
Deep Purple In Rock,2023-10-01,36
Deep Purple In Rock,2023-11-01,36
Deep Purple In Rock,2023-12-01,43
Deep Purple In Rock,2024-01-01,33
Deep Purple In Rock,2024-02-01,36
Deep Purple In Rock,2024-03-01,38
Deep Purple In Rock,2024-04-01,41
Deep Purple In Rock,2024-05-01,41
Deep Purple In Rock,2024-06-01,32
Deep Purple In Rock,2024-07-01,35
Deep Purple In Rock,2024-08-01,44
Deep Purple In Rock,2024-09-01,31
Deep Purple In Rock,2024-10-01,42
Deep Purple In Rock,2024-11-01,45
Deep Purple In Rock,2024-12-01,31
Fireball,2023-01-01,30
Fireball,2023-02-01,31
Fireball,2023-03-01,21
Fireball,2023-04-01,22
Fireball,2023-05-01,21
Fireball,2023-06-01,19
Fireball,2023-07-01,19
Fireball,2023-08-01,30
Fireball,2023-09-01,30
Fireball,2023-10-01,32
Fireball,2023-11-01,31
Fireball,2023-12-01,32
Fireball,2024-01-01,23
Fireball,2024-02-01,24
Fireball,2024-03-01,21
Fireball,2024-04-01,30
Fireball,2024-05-01,27
Fireball,2024-06-01,23
Fireball,2024-07-01,26
Fireball,2024-08-01,31
Fireball,2024-09-01,19
Fireball,2024-10-01,32
Fireball,2024-11-01,23
Fireball,2024-12-01,33
Come Taste The Band,2023-01-01,60
Come Taste The Band,2023-02-01,49
Come Taste The Band,2023-03-01,52
Come Taste The Band,2023-04-01,63
Come Taste The Band,2023-05-01,61
Come Taste The Band,2023-06-01,53
Come Taste The Band,2023-07-01,55
Come Taste The Band,2023-08-01,49
Come Taste The Band,2023-09-01,51
Come Taste The Band,2023-10-01,50
Come Taste The Band,2023-11-01,57
Come Taste The Band,2023-12-01,58
Come Taste The Band,2024-01-01,63
Come Taste The Band,2024-02-01,54
Come Taste The Band,2024-03-01,58
Come Taste The Band,2024-04-01,51
Come Taste The Band,2024-05-01,56
Come Taste The Band,2024-06-01,62
Come Taste The Band,2024-07-01,56
Come Taste The Band,2024-08-01,50
Come Taste The Band,2024-09-01,63
Come Taste The Band,2024-10-01,54
Come Taste The Band,2024-11-01,55
Come Taste The Band,2024-12-01,50
Album Of The Year,2023-01-01,50
Album Of The Year,2023-02-01,42
Album Of The Year,2023-03-01,50
Album Of The Year,2023-04-01,41
Album Of The Year,2023-05-01,48
Album Of The Year,2023-06-01,41
Album Of The Year,2023-07-01,49
Album Of The Year,2023-08-01,51
Album Of The Year,2023-09-01,46
Album Of The Year,2023-10-01,47
Album Of The Year,2023-11-01,53
Album Of The Year,2023-12-01,50
Album Of The Year,2024-01-01,47
Album Of The Year,2024-02-01,50
Album Of The Year,2024-03-01,43
Album Of The Year,2024-04-01,42
Album Of The Year,2024-05-01,49
Album Of The Year,2024-06-01,48
Album Of The Year,2024-07-01,53
Album Of The Year,2024-08-01,52
Album Of The Year,2024-09-01,50
Album Of The Year,2024-10-01,47
Album Of The Year,2024-11-01,49
Album Of The Year,2024-12-01,44
Led Zeppelin II,2023-01-01,34
Led Zeppelin II,2023-02-01,41
Led Zeppelin II,2023-03-01,47
Led Zeppelin II,2023-04-01,47
Led Zeppelin II,2023-05-01,45
Led Zeppelin II,2023-06-01,36
Led Zeppelin II,2023-07-01,40
Led Zeppelin II,2023-08-01,48
Led Zeppelin II,2023-09-01,45
Led Zeppelin II,2023-10-01,35
Led Zeppelin II,2023-11-01,35
Led Zeppelin II,2023-12-01,40
Led Zeppelin II,2024-01-01,48
Led Zeppelin II,2024-02-01,39
Led Zeppelin II,2024-03-01,36
Led Zeppelin II,2024-04-01,42
Led Zeppelin II,2024-05-01,43
Led Zeppelin II,2024-06-01,48
Led Zeppelin II,2024-07-01,47
Led Zeppelin II,2024-08-01,46
Led Zeppelin II,2024-09-01,39
Led Zeppelin II,2024-10-01,43
Led Zeppelin II,2024-11-01,43
Led Zeppelin II,2024-12-01,39
Led Zeppelin I,2023-01-01,34
Led Zeppelin I,2023-02-01,25
Led Zeppelin I,2023-03-01,30
Led Zeppelin I,2023-04-01,31
Led Zeppelin I,2023-05-01,24
Led Zeppelin I,2023-06-01,20
Led Zeppelin I,2023-07-01,27
Led Zeppelin I,2023-08-01,24
Led Zeppelin I,2023-09-01,31
Led Zeppelin I,2023-10-01,31
Led Zeppelin I,2023-11-01,31
Led Zeppelin I,2023-12-01,24
Led Zeppelin I,2024-01-01,26
Led Zeppelin I,2024-02-01,23
Led Zeppelin I,2024-03-01,25
Led Zeppelin I,2024-04-01,32
Led Zeppelin I,2024-05-01,23
Led Zeppelin I,2024-06-01,33
Led Zeppelin I,2024-07-01,34
Led Zeppelin I,2024-08-01,22
Led Zeppelin I,2024-09-01,26
Led Zeppelin I,2024-10-01,27
Led Zeppelin I,2024-11-01,23
Led Zeppelin I,2024-12-01,32
Led Zeppelin III,2023-01-01,46
Led Zeppelin III,2023-02-01,44
Led Zeppelin III,2023-03-01,51
Led Zeppelin III,2023-04-01,58
Led Zeppelin III,2023-05-01,46
Led Zeppelin III,2023-06-01,55
Led Zeppelin III,2023-07-01,53
Led Zeppelin III,2023-08-01,50
Led Zeppelin III,2023-09-01,53
Led Zeppelin III,2023-10-01,48
Led Zeppelin III,2023-11-01,53
Led Zeppelin III,2023-12-01,48
Led Zeppelin III,2024-01-01,57
Led Zeppelin III,2024-02-01,50
Led Zeppelin III,2024-03-01,58
Led Zeppelin III,2024-04-01,52
Led Zeppelin III,2024-05-01,55
Led Zeppelin III,2024-06-01,48
Led Zeppelin III,2024-07-01,44
Led Zeppelin III,2024-08-01,53
Led Zeppelin III,2024-09-01,53
Led Zeppelin III,2024-10-01,44
Led Zeppelin III,2024-11-01,58
Led Zeppelin III,2024-12-01,45
Greatest Hits,2023-01-01,59
Greatest Hits,2023-02-01,51
Greatest Hits,2023-03-01,54
Greatest Hits,2023-04-01,53
Greatest Hits,2023-05-01,58
Greatest Hits,2023-06-01,50
Greatest Hits,2023-07-01,46
Greatest Hits,2023-08-01,58
Greatest Hits,2023-09-01,52
Greatest Hits,2023-10-01,60
Greatest Hits,2023-11-01,50
Greatest Hits,2023-12-01,51
Greatest Hits,2024-01-01,58
Greatest Hits,2024-02-01,52
Greatest Hits,2024-03-01,48
Greatest Hits,2024-04-01,57
Greatest Hits,2024-05-01,55
Greatest Hits,2024-06-01,48
Greatest Hits,2024-07-01,50
Greatest Hits,2024-08-01,51
Greatest Hits,2024-09-01,54
Greatest Hits,2024-10-01,58
Greatest Hits,2024-11-01,59
Greatest Hits,2024-12-01,57
A TempestadeTempestade Ou O Livro Dos Dias,2023-01-01,33
A TempestadeTempestade Ou O Livro Dos Dias,2023-02-01,19
A TempestadeTempestade Ou O Livro Dos Dias,2023-03-01,32
A TempestadeTempestade Ou O Livro Dos Dias,2023-04-01,32
A TempestadeTempestade Ou O Livro Dos Dias,2023-05-01,32
A TempestadeTempestade Ou O Livro Dos Dias,2023-06-01,22
A TempestadeTempestade Ou O Livro Dos Dias,2023-07-01,23
A TempestadeTempestade Ou O Livro Dos Dias,2023-08-01,30
A TempestadeTempestade Ou O Livro Dos Dias,2023-09-01,28
A TempestadeTempestade Ou O Livro Dos Dias,2023-10-01,28
A TempestadeTempestade Ou O Livro Dos Dias,2023-11-01,23
A TempestadeTempestade Ou O Livro Dos Dias,2023-12-01,25
A TempestadeTempestade Ou O Livro Dos Dias,2024-01-01,22
A TempestadeTempestade Ou O Livro Dos Dias,2024-02-01,19
A TempestadeTempestade Ou O Livro Dos Dias,2024-03-01,32
A TempestadeTempestade Ou O Livro Dos Dias,2024-04-01,32
A TempestadeTempestade Ou O Livro Dos Dias,2024-05-01,23
A TempestadeTempestade Ou O Livro Dos Dias,2024-06-01,25
A TempestadeTempestade Ou O Livro Dos Dias,2024-07-01,28
A TempestadeTempestade Ou O Livro Dos Dias,2024-08-01,28
A TempestadeTempestade Ou O Livro Dos Dias,2024-09-01,24
A TempestadeTempestade Ou O Livro Dos Dias,2024-10-01,23
A TempestadeTempestade Ou O Livro Dos Dias,2024-11-01,22
A TempestadeTempestade Ou O Livro Dos Dias,2024-12-01,20
Barulhinho Bom,2023-01-01,54
Barulhinho Bom,2023-02-01,54
Barulhinho Bom,2023-03-01,47
Barulhinho Bom,2023-04-01,54
Barulhinho Bom,2023-05-01,45
Barulhinho Bom,2023-06-01,52
Barulhinho Bom,2023-07-01,49
Barulhinho Bom,2023-08-01,57
Barulhinho Bom,2023-09-01,48
Barulhinho Bom,2023-10-01,52
Barulhinho Bom,2023-11-01,51
Barulhinho Bom,2023-12-01,46
Barulhinho Bom,2024-01-01,45
Barulhinho Bom,2024-02-01,56
Barulhinho Bom,2024-03-01,55
Barulhinho Bom,2024-04-01,48
Barulhinho Bom,2024-05-01,52
Barulhinho Bom,2024-06-01,56
Barulhinho Bom,2024-07-01,46
Barulhinho Bom,2024-08-01,47
Barulhinho Bom,2024-09-01,56
Barulhinho Bom,2024-10-01,45
Barulhinho Bom,2024-11-01,45
Barulhinho Bom,2024-12-01,57
Garage Inc. (Disc 2),2023-01-01,62
Garage Inc. (Disc 2),2023-02-01,53
Garage Inc. (Disc 2),2023-03-01,51
Garage Inc. (Disc 2),2023-04-01,51
Garage Inc. (Disc 2),2023-05-01,58
Garage Inc. (Disc 2),2023-06-01,60
Garage Inc. (Disc 2),2023-07-01,61
Garage Inc. (Disc 2),2023-08-01,62
Garage Inc. (Disc 2),2023-09-01,63
Garage Inc. (Disc 2),2023-10-01,63
Garage Inc. (Disc 2),2023-11-01,62
Garage Inc. (Disc 2),2023-12-01,65
Garage Inc. (Disc 2),2024-01-01,64
Garage Inc. (Disc 2),2024-02-01,52
Garage Inc. (Disc 2),2024-03-01,63
Garage Inc. (Disc 2),2024-04-01,53
Garage Inc. (Disc 2),2024-05-01,52
Garage Inc. (Disc 2),2024-06-01,53
Garage Inc. (Disc 2),2024-07-01,57
Garage Inc. (Disc 2),2024-08-01,51
Garage Inc. (Disc 2),2024-09-01,60
Garage Inc. (Disc 2),2024-10-01,58
Garage Inc. (Disc 2),2024-11-01,63
Garage Inc. (Disc 2),2024-12-01,60
Mais Do Mesmo,2023-01-01,33
