ArtistName,Date,PlayCount
Adrian Leaper & Doreen de Feis,2024-08-01,44
Adrian Leaper & Doreen de Feis,2024-09-01,35
Adrian Leaper & Doreen de Feis,2024-10-01,31
Adrian Leaper & Doreen de Feis,2024-11-01,25
Adrian Leaper & Doreen de Feis,2024-12-01,25
Aerosmith,2023-01-01,44
Aerosmith,2023-02-01,37
Aerosmith,2023-03-01,33
Aerosmith,2023-04-01,27
Aerosmith,2023-05-01,31
Aerosmith,2023-06-01,30
Aerosmith,2023-07-01,32
Aerosmith,2023-08-01,33
Aerosmith,2023-09-01,29
Aerosmith,2023-10-01,25
Aerosmith,2023-11-01,43
Aerosmith,2023-12-01,34
Aerosmith,2024-01-01,36
Aerosmith,2024-02-01,39
Aerosmith,2024-03-01,33
Aerosmith,2024-04-01,44
Aerosmith,2024-05-01,41
Aerosmith,2024-06-01,41
Aerosmith,2024-07-01,44
Aerosmith,2024-08-01,36
Aerosmith,2024-09-01,31
Aerosmith,2024-10-01,26
Aerosmith,2024-11-01,27
Aerosmith,2024-12-01,41
Alanis Morissette,2023-01-01,29
Alanis Morissette,2023-02-01,41
Alanis Morissette,2023-03-01,41
Alanis Morissette,2023-04-01,41
Alanis Morissette,2023-05-01,26
Alanis Morissette,2023-06-01,26
Alanis Morissette,2023-07-01,29
Alanis Morissette,2023-08-01,25
Alanis Morissette,2023-09-01,25
Alanis Morissette,2023-10-01,43
Alanis Morissette,2023-11-01,26
Alanis Morissette,2023-12-01,36
Alanis Morissette,2024-01-01,30
Alanis Morissette,2024-02-01,28
Alanis Morissette,2024-03-01,35
Alanis Morissette,2024-04-01,41
Alanis Morissette,2024-05-01,30
Alanis Morissette,2024-06-01,29
Alanis Morissette,2024-07-01,44
Alanis Morissette,2024-08-01,26
Alanis Morissette,2024-09-01,30
Alanis Morissette,2024-10-01,35
Alanis Morissette,2024-11-01,40
Alanis Morissette,2024-12-01,40
Alice In Chains,2023-01-01,25
Alice In Chains,2023-02-01,33
Alice In Chains,2023-03-01,30
Alice In Chains,2023-04-01,40
Alice In Chains,2023-05-01,27
Alice In Chains,2023-06-01,44
Alice In Chains,2023-07-01,28
Alice In Chains,2023-08-01,43
Alice In Chains,2023-09-01,27
Alice In Chains,2023-10-01,43
Alice In Chains,2023-11-01,44
Alice In Chains,2023-12-01,31
Alice In Chains,2024-01-01,44
Alice In Chains,2024-02-01,33
Alice In Chains,2024-03-01,25
Alice In Chains,2024-04-01,32
Alice In Chains,2024-05-01,31
Alice In Chains,2024-06-01,42
Alice In Chains,2024-07-01,32
Alice In Chains,2024-08-01,25
Alice In Chains,2024-09-01,35
Alice In Chains,2024-10-01,42
Alice In Chains,2024-11-01,34
Alice In Chains,2024-12-01,27
Amy Winehouse,2023-01-01,31
Amy Winehouse,2023-02-01,40
Amy Winehouse,2023-03-01,40
Amy Winehouse,2023-04-01,44
Amy Winehouse,2023-05-01,41
Amy Winehouse,2023-06-01,26
Amy Winehouse,2023-07-01,25
Amy Winehouse,2023-08-01,40
Amy Winehouse,2023-09-01,36
Amy Winehouse,2023-10-01,29
Amy Winehouse,2023-11-01,29
Amy Winehouse,2023-12-01,33
Amy Winehouse,2024-01-01,33
Amy Winehouse,2024-02-01,27
Amy Winehouse,2024-03-01,43
Amy Winehouse,2024-04-01,40
Amy Winehouse,2024-05-01,40
Amy Winehouse,2024-06-01,27
Amy Winehouse,2024-07-01,44
Amy Winehouse,2024-08-01,25
Amy Winehouse,2024-09-01,44
Amy Winehouse,2024-10-01,35
Amy Winehouse,2024-11-01,41
Amy Winehouse,2024-12-01,32
Antal Doráti & London Symphony Orchestra,2023-01-01,28
Antal Doráti & London Symphony Orchestra,2023-02-01,30
Antal Doráti & London Symphony Orchestra,2023-03-01,32
Antal Doráti & London Symphony Orchestra,2023-04-01,44
Antal Doráti & London Symphony Orchestra,2023-05-01,27
Antal Doráti & London Symphony Orchestra,2023-06-01,40
Antal Doráti & London Symphony Orchestra,2023-07-01,27
Antal Doráti & London Symphony Orchestra,2023-08-01,42
Antal Doráti & London Symphony Orchestra,2023-09-01,38
Antal Doráti & London Symphony Orchestra,2023-10-01,42
Antal Doráti & London Symphony Orchestra,2023-11-01,26
Antal Doráti & London Symphony Orchestra,2023-12-01,27
Antal Doráti & London Symphony Orchestra,2024-01-01,40
Antal Doráti & London Symphony Orchestra,2024-02-01,33
Antal Doráti & London Symphony Orchestra,2024-03-01,28
Antal Doráti & London Symphony Orchestra,2024-04-01,25
Antal Doráti & London Symphony Orchestra,2024-05-01,28
Antal Doráti & London Symphony Orchestra,2024-06-01,25
Antal Doráti & London Symphony Orchestra,2024-07-01,38
Antal Doráti & London Symphony Orchestra,2024-08-01,40
Antal Doráti & London Symphony Orchestra,2024-09-01,44
Antal Doráti & London Symphony Orchestra,2024-10-01,32
Antal Doráti & London Symphony Orchestra,2024-11-01,31
Antal Doráti & London Symphony Orchestra,2024-12-01,27
Antônio Carlos Jobim,2023-01-01,41
Antônio Carlos Jobim,2023-02-01,25
Antônio Carlos Jobim,2023-03-01,40
Antônio Carlos Jobim,2023-04-01,36
Antônio Carlos Jobim,2023-05-01,43
Antônio Carlos Jobim,2023-06-01,38
Antônio Carlos Jobim,2023-07-01,30
Antônio Carlos Jobim,2023-08-01,30
Antônio Carlos Jobim,2023-09-01,37
Antônio Carlos Jobim,2023-10-01,43
Antônio Carlos Jobim,2023-11-01,32
Antônio Carlos Jobim,2023-12-01,26
Antônio Carlos Jobim,2024-01-01,25
Antônio Carlos Jobim,2024-02-01,39
Antônio Carlos Jobim,2024-03-01,25
Antônio Carlos Jobim,2024-04-01,29
Antônio Carlos Jobim,2024-05-01,40
Antônio Carlos Jobim,2024-06-01,43
Antônio Carlos Jobim,2024-07-01,28
Antônio Carlos Jobim,2024-08-01,27
Antônio Carlos Jobim,2024-09-01,41
Antônio Carlos Jobim,2024-10-01,41
Antônio Carlos Jobim,2024-11-01,36
Antônio Carlos Jobim,2024-12-01,38
Apocalyptica,2023-01-01,30
Apocalyptica,2023-02-01,27
Apocalyptica,2023-03-01,33
Apocalyptica,2023-04-01,29
Apocalyptica,2023-05-01,41
Apocalyptica,2023-06-01,38
Apocalyptica,2023-07-01,27
Apocalyptica,2023-08-01,25
Apocalyptica,2023-09-01,44
Apocalyptica,2023-10-01,25
Apocalyptica,2023-11-01,27
Apocalyptica,2023-12-01,42
Apocalyptica,2024-01-01,34
Apocalyptica,2024-02-01,27
Apocalyptica,2024-03-01,32
Apocalyptica,2024-04-01,38
Apocalyptica,2024-05-01,42
Apocalyptica,2024-06-01,39
Apocalyptica,2024-07-01,26
Apocalyptica,2024-08-01,34
Apocalyptica,2024-09-01,26
Apocalyptica,2024-10-01,41
Apocalyptica,2024-11-01,32
Apocalyptica,2024-12-01,25
Aquaman,2023-01-01,33
Aquaman,2023-02-01,35
Aquaman,2023-03-01,40
Aquaman,2023-04-01,31
Aquaman,2023-05-01,34
Aquaman,2023-06-01,27
Aquaman,2023-07-01,42
Aquaman,2023-08-01,37
Aquaman,2023-09-01,31
Aquaman,2023-10-01,28
Aquaman,2023-11-01,37
Aquaman,2023-12-01,44
Aquaman,2024-01-01,25
Aquaman,2024-02-01,32
Aquaman,2024-03-01,38
Aquaman,2024-04-01,40
Aquaman,2024-05-01,38
Aquaman,2024-06-01,36
Aquaman,2024-07-01,43
Aquaman,2024-08-01,39
Aquaman,2024-09-01,26
Aquaman,2024-10-01,26
Aquaman,2024-11-01,43
Aquaman,2024-12-01,41
Audioslave,2023-01-01,44
Audioslave,2023-02-01,34
Audioslave,2023-03-01,30
Audioslave,2023-04-01,39
Audioslave,2023-05-01,35
Audioslave,2023-06-01,29
Audioslave,2023-07-01,25
Audioslave,2023-08-01,32
Audioslave,2023-09-01,36
Audioslave,2023-10-01,36
Audioslave,2023-11-01,29
Audioslave,2023-12-01,31
Audioslave,2024-01-01,28
Audioslave,2024-02-01,30
Audioslave,2024-03-01,37
Audioslave,2024-04-01,44
Audioslave,2024-05-01,39
Audioslave,2024-06-01,27
Audioslave,2024-07-01,32
Audioslave,2024-08-01,44
Audioslave,2024-09-01,40
Audioslave,2024-10-01,37
Audioslave,2024-11-01,42
Audioslave,2024-12-01,34
BackBeat,2023-01-01,43
BackBeat,2023-02-01,41
BackBeat,2023-03-01,43
BackBeat,2023-04-01,29
BackBeat,2023-05-01,33
BackBeat,2023-06-01,36
BackBeat,2023-07-01,25
BackBeat,2023-08-01,25
BackBeat,2023-09-01,39
BackBeat,2023-10-01,26
BackBeat,2023-11-01,40
BackBeat,2023-12-01,32
BackBeat,2024-01-01,37
BackBeat,2024-02-01,25
BackBeat,2024-03-01,40
BackBeat,2024-04-01,31
BackBeat,2024-05-01,29
BackBeat,2024-06-01,27
BackBeat,2024-07-01,36
BackBeat,2024-08-01,40
BackBeat,2024-09-01,43
BackBeat,2024-10-01,29
BackBeat,2024-11-01,38
BackBeat,2024-12-01,29
Battlestar Galactica,2023-01-01,39
Battlestar Galactica,2023-02-01,41
Battlestar Galactica,2023-03-01,38
Battlestar Galactica,2023-04-01,44
Battlestar Galactica,2023-05-01,29
Battlestar Galactica,2023-06-01,36
Battlestar Galactica,2023-07-01,40
Battlestar Galactica,2023-08-01,40
Battlestar Galactica,2023-09-01,31
Battlestar Galactica,2023-10-01,28
Battlestar Galactica,2023-11-01,25
Battlestar Galactica,2023-12-01,29
Battlestar Galactica,2024-01-01,34
Battlestar Galactica,2024-02-01,29
Battlestar Galactica,2024-03-01,28
Battlestar Galactica,2024-04-01,26
Battlestar Galactica,2024-05-01,44
Battlestar Galactica,2024-06-01,34
Battlestar Galactica,2024-07-01,43
Battlestar Galactica,2024-08-01,25
Battlestar Galactica,2024-09-01,29
Battlestar Galactica,2024-10-01,37
Battlestar Galactica,2024-11-01,28
Battlestar Galactica,2024-12-01,40
Battlestar Galactica (Classic),2023-01-01,40
Battlestar Galactica (Classic),2023-02-01,26
Battlestar Galactica (Classic),2023-03-01,41
Battlestar Galactica (Classic),2023-04-01,44
Battlestar Galactica (Classic),2023-05-01,36
Battlestar Galactica (Classic),2023-06-01,42
Battlestar Galactica (Classic),2023-07-01,27
Battlestar Galactica (Classic),2023-08-01,25
Battlestar Galactica (Classic),2023-09-01,25
Battlestar Galactica (Classic),2023-10-01,43
Battlestar Galactica (Classic),2023-11-01,35
Battlestar Galactica (Classic),2023-12-01,29
Battlestar Galactica (Classic),2024-01-01,36
Battlestar Galactica (Classic),2024-02-01,27
Battlestar Galactica (Classic),2024-03-01,25
Battlestar Galactica (Classic),2024-04-01,25
Battlestar Galactica (Classic),2024-05-01,32
Battlestar Galactica (Classic),2024-06-01,34
Battlestar Galactica (Classic),2024-07-01,35
Battlestar Galactica (Classic),2024-08-01,36
Battlestar Galactica (Classic),2024-09-01,37
Battlestar Galactica (Classic),2024-10-01,36
Battlestar Galactica (Classic),2024-11-01,38
Battlestar Galactica (Classic),2024-12-01,26
Berliner Philharmoniker & Hans Rosbaud,2023-01-01,43
Berliner Philharmoniker & Hans Rosbaud,2023-02-01,42
Berliner Philharmoniker & Hans Rosbaud,2023-03-01,27
Berliner Philharmoniker & Hans Rosbaud,2023-04-01,41
Berliner Philharmoniker & Hans Rosbaud,2023-05-01,32
Berliner Philharmoniker & Hans Rosbaud,2023-06-01,34
Berliner Philharmoniker & Hans Rosbaud,2023-07-01,26
Berliner Philharmoniker & Hans Rosbaud,2023-08-01,43
Berliner Philharmoniker & Hans Rosbaud,2023-09-01,33
Berliner Philharmoniker & Hans Rosbaud,2023-10-01,31
Berliner Philharmoniker & Hans Rosbaud,2023-11-01,28
Berliner Philharmoniker & Hans Rosbaud,2023-12-01,42
Berliner Philharmoniker & Hans Rosbaud,2024-01-01,37
Berliner Philharmoniker & Hans Rosbaud,2024-02-01,35
Berliner Philharmoniker & Hans Rosbaud,2024-03-01,28
Berliner Philharmoniker & Hans Rosbaud,2024-04-01,28
Berliner Philharmoniker & Hans Rosbaud,2024-05-01,34
Berliner Philharmoniker & Hans Rosbaud,2024-06-01,29
Berliner Philharmoniker & Hans Rosbaud,2024-07-01,33
Berliner Philharmoniker & Hans Rosbaud,2024-08-01,27
Berliner Philharmoniker & Hans Rosbaud,2024-09-01,41
Berliner Philharmoniker & Hans Rosbaud,2024-10-01,27
Berliner Philharmoniker & Hans Rosbaud,2024-11-01,40
Berliner Philharmoniker & Hans Rosbaud,2024-12-01,28
Berliner Philharmoniker & Herbert Von Karajan,2023-01-01,42
Berliner Philharmoniker & Herbert Von Karajan,2023-02-01,41
Berliner Philharmoniker & Herbert Von Karajan,2023-03-01,31
Berliner Philharmoniker & Herbert Von Karajan,2023-04-01,29
Berliner Philharmoniker & Herbert Von Karajan,2023-05-01,36
Berliner Philharmoniker & Herbert Von Karajan,2023-06-01,41
Berliner Philharmoniker & Herbert Von Karajan,2023-07-01,37
Berliner Philharmoniker & Herbert Von Karajan,2023-08-01,27
Berliner Philharmoniker & Herbert Von Karajan,2023-09-01,33
Berliner Philharmoniker & Herbert Von Karajan,2023-10-01,41
Berliner Philharmoniker & Herbert Von Karajan,2023-11-01,41
Berliner Philharmoniker & Herbert Von Karajan,2023-12-01,44
Berliner Philharmoniker & Herbert Von Karajan,2024-01-01,40
Berliner Philharmoniker & Herbert Von Karajan,2024-02-01,37
Berliner Philharmoniker & Herbert Von Karajan,2024-03-01,43
Berliner Philharmoniker & Herbert Von Karajan,2024-04-01,41
Berliner Philharmoniker & Herbert Von Karajan,2024-05-01,28
Berliner Philharmoniker & Herbert Von Karajan,2024-06-01,36
Berliner Philharmoniker & Herbert Von Karajan,2024-07-01,33
Berliner Philharmoniker & Herbert Von Karajan,2024-08-01,43
Berliner Philharmoniker & Herbert Von Karajan,2024-09-01,36
Berliner Philharmoniker & Herbert Von Karajan,2024-10-01,33
Berliner Philharmoniker & Herbert Von Karajan,2024-11-01,31
Berliner Philharmoniker & Herbert Von Karajan,2024-12-01,38
Billy Cobham,2023-01-01,44
Billy Cobham,2023-02-01,43
Billy Cobham,2023-03-01,39
Billy Cobham,2023-04-01,40
Billy Cobham,2023-05-01,29
Billy Cobham,2023-06-01,27
Billy Cobham,2023-07-01,36
Billy Cobham,2023-08-01,44
Billy Cobham,2023-09-01,28
Billy Cobham,2023-10-01,40
Billy Cobham,2023-11-01,31
Billy Cobham,2023-12-01,37
Billy Cobham,2024-01-01,34
Billy Cobham,2024-02-01,31
Billy Cobham,2024-03-01,38
Billy Cobham,2024-04-01,29
Billy Cobham,2024-05-01,27
Billy Cobham,2024-06-01,35
Billy Cobham,2024-07-01,35
Billy Cobham,2024-08-01,42
Billy Cobham,2024-09-01,39
Billy Cobham,2024-10-01,36
Billy Cobham,2024-11-01,33
Billy Cobham,2024-12-01,34
Black Label Society,2023-01-01,36
Black Label Society,2023-02-01,41
Black Label Society,2023-03-01,30
Black Label Society,2023-04-01,31
Black Label Society,2023-05-01,38
Black Label Society,2023-06-01,37
Black Label Society,2023-07-01,32
Black Label Society,2023-08-01,34
Black Label Society,2023-09-01,33
Black Label Society,2023-10-01,42
Black Label Society,2023-11-01,26
Black Label Society,2023-12-01,29
Black Label Society,2024-01-01,29
Black Label Society,2024-02-01,30
Black Label Society,2024-03-01,43
Black Label Society,2024-04-01,32
Black Label Society,2024-05-01,40
Black Label Society,2024-06-01,37
Black Label Society,2024-07-01,25
Black Label Society,2024-08-01,44
Black Label Society,2024-09-01,41
Black Label Society,2024-10-01,31
Black Label Society,2024-11-01,37
Black Label Society,2024-12-01,28
Black Sabbath,2023-01-01,28
Black Sabbath,2023-02-01,30
Black Sabbath,2023-03-01,43
Black Sabbath,2023-04-01,36
Black Sabbath,2023-05-01,31
Black Sabbath,2023-06-01,34
Black Sabbath,2023-07-01,43
Black Sabbath,2023-08-01,31
Black Sabbath,2023-09-01,27
Black Sabbath,2023-10-01,37
Black Sabbath,2023-11-01,37
Black Sabbath,2023-12-01,42
Black Sabbath,2024-01-01,44
Black Sabbath,2024-02-01,32
Black Sabbath,2024-03-01,33
Black Sabbath,2024-04-01,31
Black Sabbath,2024-05-01,25
Black Sabbath,2024-06-01,27
Black Sabbath,2024-07-01,37
Black Sabbath,2024-08-01,41
Black Sabbath,2024-09-01,25
Black Sabbath,2024-10-01,30
Black Sabbath,2024-11-01,30
Black Sabbath,2024-12-01,36
Body Count,2023-01-01,37
Body Count,2023-02-01,37
Body Count,2023-03-01,39
Body Count,2023-04-01,40
Body Count,2023-05-01,35
Body Count,2023-06-01,29
Body Count,2023-07-01,28
Body Count,2023-08-01,27
Body Count,2023-09-01,43
Body Count,2023-10-01,44
Body Count,2023-11-01,42
Body Count,2023-12-01,39
Body Count,2024-01-01,33
Body Count,2024-02-01,41
Body Count,2024-03-01,38
Body Count,2024-04-01,39
Body Count,2024-05-01,25
Body Count,2024-06-01,27
Body Count,2024-07-01,40
Body Count,2024-08-01,35
Body Count,2024-09-01,36
Body Count,2024-10-01,34
Body Count,2024-11-01,40
Body Count,2024-12-01,32
Bruce Dickinson,2023-01-01,30
Bruce Dickinson,2023-02-01,36
Bruce Dickinson,2023-03-01,32
Bruce Dickinson,2023-04-01,28
Bruce Dickinson,2023-05-01,32
Bruce Dickinson,2023-06-01,42
Bruce Dickinson,2023-07-01,29
Bruce Dickinson,2023-08-01,33
Bruce Dickinson,2023-09-01,28
Bruce Dickinson,2023-10-01,41
Bruce Dickinson,2023-11-01,33
Bruce Dickinson,2023-12-01,25
Bruce Dickinson,2024-01-01,44
Bruce Dickinson,2024-02-01,37
Bruce Dickinson,2024-03-01,40
Bruce Dickinson,2024-04-01,37
Bruce Dickinson,2024-05-01,38
Bruce Dickinson,2024-06-01,27
Bruce Dickinson,2024-07-01,30
Bruce Dickinson,2024-08-01,42
Bruce Dickinson,2024-09-01,43
Bruce Dickinson,2024-10-01,29
Bruce Dickinson,2024-11-01,39
Bruce Dickinson,2024-12-01,26
Buddy Guy,2023-01-01,34
Buddy Guy,2023-02-01,42
Buddy Guy,2023-03-01,37
Buddy Guy,2023-04-01,29
Buddy Guy,2023-05-01,25
Buddy Guy,2023-06-01,25
Buddy Guy,2023-07-01,42
Buddy Guy,2023-08-01,39
Buddy Guy,2023-09-01,41
Buddy Guy,2023-10-01,35
Buddy Guy,2023-11-01,41
Buddy Guy,2023-12-01,37
Buddy Guy,2024-01-01,25
Buddy Guy,2024-02-01,26
Buddy Guy,2024-03-01,33
Buddy Guy,2024-04-01,27
Buddy Guy,2024-05-01,25
Buddy Guy,2024-06-01,40
Buddy Guy,2024-07-01,30
Buddy Guy,2024-08-01,41
Buddy Guy,2024-09-01,29
Buddy Guy,2024-10-01,29
Buddy Guy,2024-11-01,30
Buddy Guy,2024-12-01,27
Caetano Veloso,2023-01-01,29
Caetano Veloso,2023-02-01,29
Caetano Veloso,2023-03-01,34
Caetano Veloso,2023-04-01,34
Caetano Veloso,2023-05-01,43
Caetano Veloso,2023-06-01,41
Caetano Veloso,2023-07-01,38
Caetano Veloso,2023-08-01,33
Caetano Veloso,2023-09-01,38
Caetano Veloso,2023-10-01,25
Caetano Veloso,2023-11-01,43
Caetano Veloso,2023-12-01,37
Caetano Veloso,2024-01-01,37
Caetano Veloso,2024-02-01,28
Caetano Veloso,2024-03-01,25
Caetano Veloso,2024-04-01,41
